destinationTitles,taxonomyObjective,count
A Human-Centred and Ethical Development of Digital and Industrial Technologies,5G & 6G,14
A Human-Centred and Ethical Development of Digital and Industrial Technologies,IoT,15
A Human-Centred and Ethical Development of Digital and Industrial Technologies,advanced computing and big data,56
A Human-Centred and Ethical Development of Digital and Industrial Technologies,artificial intelligence,87
A Human-Centred and Ethical Development of Digital and Industrial Technologies,blockchain,23
A Human-Centred and Ethical Development of Digital and Industrial Technologies,metaverse,7
A Human-Centred and Ethical Development of Digital and Industrial Technologies,next generation internet,32
A Human-Centred and Ethical Development of Digital and Industrial Technologies,quantum technologies,7
A Human-Centred and Ethical Development of Digital and Industrial Technologies,robotics,22
A Human-Centred and Ethical Development of Digital and Industrial Technologies,space including earth observation,8
A Human-Centred and Ethical Development of Digital and Industrial Technologies,virtual reality,77
"Climate Neutral, Circular and Digitised Production",5G & 6G,4
"Climate Neutral, Circular and Digitised Production",IoT,24
"Climate Neutral, Circular and Digitised Production",advanced computing and big data,60
"Climate Neutral, Circular and Digitised Production",artificial intelligence,80
"Climate Neutral, Circular and Digitised Production",blockchain,13
"Climate Neutral, Circular and Digitised Production",emerging enabling technologies,8
"Climate Neutral, Circular and Digitised Production",metaverse,2
"Climate Neutral, Circular and Digitised Production",next generation internet,4
"Climate Neutral, Circular and Digitised Production",quantum technologies,7
"Climate Neutral, Circular and Digitised Production",robotics,39
"Climate Neutral, Circular and Digitised Production",space including earth observation,4
"Climate Neutral, Circular and Digitised Production",virtual reality,22
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,5G & 6G,25
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,IoT,27
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,advanced computing and big data,67
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,artificial intelligence,103
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,blockchain,2
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,emerging enabling technologies,32
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,next generation internet,8
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,quantum technologies,38
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,robotics,48
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,space including earth observation,22
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,virtual reality,7
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",5G & 6G,11
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",IoT,24
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",advanced computing and big data,38
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",artificial intelligence,74
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",blockchain,15
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",emerging enabling technologies,12
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",metaverse,2
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",next generation internet,2
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",quantum technologies,1
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",robotics,28
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",space including earth observation,22
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",virtual reality,3
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",5G & 6G,4
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",IoT,2
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",advanced computing and big data,30
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",artificial intelligence,35
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",emerging enabling technologies,8
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",quantum technologies,5
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",robotics,10
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",space including earth observation,81
World-leading Data and Computing Technologies,5G & 6G,16
World-leading Data and Computing Technologies,IoT,42
World-leading Data and Computing Technologies,advanced computing and big data,56
World-leading Data and Computing Technologies,artificial intelligence,57
World-leading Data and Computing Technologies,blockchain,16
World-leading Data and Computing Technologies,emerging enabling technologies,3
World-leading Data and Computing Technologies,next generation internet,17
World-leading Data and Computing Technologies,quantum technologies,1
World-leading Data and Computing Technologies,robotics,5
World-leading Data and Computing Technologies,space including earth observation,6
World-leading Data and Computing Technologies,virtual reality,13
